,budget,tconst,poster_path,production_countries,revenue,status,production_companies_name,production_companies_country,Unnamed: 0,titleType,primaryTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,directors,nconst,category,characters,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,title,genre,director_principal
0,4000000,tt0113101,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,['US'],4257354,Released,"['Miramax', 'A Band Apart']","['US', 'US']",53112,movie,Four Rooms,0,1995-01-01,98,Comedy,6.7,107432,"nm0025978,nm0734319,nm0001675,nm0000233,nm0005062",nm0000104,actor,"[""Man (segment \""The Misbehavers\"")""]",Antonio Banderas,1960-01-01,,"actor,soundtrack,producer","tt0120657,tt0112851,tt1189073,tt0120746",Groom service,Comedy,Allison Anders
10,21000000,tt0107286,/3rvvpS9YPM5HB2f4HYiNiJVtdam.jpg,['US'],12136938,Released,"['Largo Entertainment', 'JVC']","['US', 'JP']",48750,movie,Judgment Night,0,1993-01-01,110,"Action,Crime,Drama",6.6,17607,nm0394280,nm0000389,actor,"[""Frank Wyatt""]",Emilio Estevez,1962-01-01,,"actor,director,producer","tt0100994,tt0308055,tt1441912,tt3294746",La nuit du jugement,Action,Stephen Hopkins
19,11000000,tt0076759,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,['US'],775398007,Released,"['Lucasfilm Ltd.', '20th Century Fox']","['US', 'US']",3959,movie,Star Wars: Episode IV - A New Hope,0,1977-01-01,121,"Action,Adventure,Fantasy",8.6,1384282,nm0000184,nm0000027,actor,"[""Ben Obi-Wan Kenobi""]",Alec Guinness,1914-01-01,2000-01-01,"actor,soundtrack,writer","tt0041546,tt0050212,tt0051739,tt0076759",La guerre des étoiles: Épisode IV - Un nouvel espoir,Action,George Lucas
28,94000000,tt0266543,/5lc6nQc0VhWFYFbNv016xze8Jvy.jpg,['US'],940335536,Released,['Pixar'],['US'],31905,movie,Finding Nemo,0,2003-01-01,100,"Adventure,Animation,Comedy",8.2,1059762,"nm0004056,nm0881279",nm0000983,actor,"[""Marlin""]",Albert Brooks,1947-01-01,,"actor,soundtrack,writer","tt0089504,tt0780504,tt0092699,tt0101698",Le Monde de Nemo,Adventure,Andrew Stanton
38,55000000,tt0109830,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,['US'],677387716,Released,"['Paramount', 'The Steve Tisch Company', 'Wendy Finerman Productions']","['US', '', '']",32766,movie,Forrest Gump,0,1994-01-01,142,"Drama,Romance",8.8,2119454,nm0000709,nm0000398,actress,"[""Mrs. Gump""]",Sally Field,1946-01-01,,"actress,producer,soundtrack","tt0098384,tt0443272,tt0109830,tt0076729",Forrest Gump,Drama,Robert Zemeckis
48,15000000,tt0169547,/wby9315QzVKdW9BonAefg8jGTTb.jpg,['US'],356296601,Released,"['Jinks/Cohen Company', 'DreamWorks Pictures']","['', 'US']",49921,movie,American Beauty,0,1999-01-01,122,Drama,8.4,1168309,nm0005222,nm0002353,composer,unknown,Thomas Newman,1955-01-01,,"music_department,composer,soundtrack","tt1074638,tt0910970,tt1454029,tt8579674",American Beauty,Drama,Sam Mendes
57,12800000,tt0168629,/8Wdd3fQfbbQeoSfWpHrDfaFNhBU.jpg,"['AR', 'DK', 'FI', 'FR', 'DE', 'IS', 'IT', 'NL', 'NO', 'SE', 'GB', 'US']",40031879,Released,"['Lantia Cinema & Audiovisivi', 'Fine Line Features', 'Zentropa Entertainments', 'DR', 'SVT Drama', 'ARTE', 'Memfis Film', 'France 3 Cinéma', 'Angel films', 'YLE', 'Blind Spot Pictures', 'VPRO', 'Liberator Productions', 'Íslenska kvikmyndasamsteypan', 'Pain Unlimited GmbH Filmproduktion', 'Trust Film Svenska', 'Cinematograph A/S', 'What Else? B.V', 'Filmek A/S', 'Film4 Productions', 'Canal+', 'ARTE France Cinéma', 'Film i Väst', 'TV 1000 Sverige', 'WDR', 'Constantin Film']","['', '', 'DK', 'DK', 'SE', 'FR', 'SE', 'FR', '', 'FI', 'FI', 'NL', 'FR', 'IS', '', '', '', '', '', 'GB', 'FR', 'FR', 'SE', 'SE', 'DE', 'DE']",14307,movie,Dancer in the Dark,0,2000-01-01,140,"Crime,Drama,Musical",7.9,112409,nm0001885,nm0000366,actress,"[""Kathy""]",Catherine Deneuve,1943-01-01,,"actress,soundtrack,producer","tt0283832,tt0059646,tt0061395,tt0168629",Dancer in the Dark,Crime,Lars von Trier
66,0,tt0411267,/wZeBHVnCvaS2bwkb8jFQ0PwZwXq.jpg,"['DE', 'GB']",6593579,Released,"['Constantin Film', 'Impact Pictures', 'Isle of Man Film', 'UK Film Council']","['DE', 'GB', 'GB', 'GB']",65510,movie,The Dark,0,2005-01-01,93,"Drama,Fantasy,Horror",5.3,11036,nm0269502,nm0000293,actor,"[""James""]",Sean Bean,1959-01-01,,"actor,producer,animation_department","tt0120737,tt0167261,tt0944947,tt1181791",The Dark,Drama,John Fawcett
76,90000000,tt0119116,/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg,"['FR', 'GB']",263920180,Released,"['Gaumont', 'Buena Vista International', 'Columbia Pictures']","['FR', 'US', 'US']",40886,movie,The Fifth Element,0,1997-01-01,126,"Action,Adventure,Sci-Fi",7.6,483063,nm0000108,nm0436543,writer,unknown,Robert Mark Kamen,1947-01-01,,"writer,producer,script_department","tt0293662,tt0097647,tt0936501,tt0119116",Le cinquième élément,Action,Luc Besson
85,2500000,tt0314412,/sFSkn5rrQqXJkRNa2rMWqzmEuhR.jpg,"['CA', 'ES']",12300000,Released,"['El Deseo', 'Milestone Productions']","['ES', '']",58834,movie,My Life Without Me,0,2003-01-01,106,"Drama,Romance",7.4,25395,nm0170043,nm0001631,actress,"[""Ann""]",Sarah Polley,1979-01-01,,"actress,director,writer","tt0139239,tt0363547,tt0314412,tt0120255",Ma vie sans moi,Drama,Isabel Coixet
